               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                  72,            0.029463,             0.01358,                   0,             0.83454,             0.76812,             0.79745,             0.32563,            0.045188,            0.015396,                   0,           0.0088124,           0.0088124,           0.0088124
                  73,            0.028939,              0.0129,                   0,             0.81501,             0.70236,             0.74778,             0.30557,            0.046491,            0.015932,                   0,           0.0087804,           0.0087804,           0.0087804
                  74,            0.030681,            0.013703,                   0,             0.80327,             0.71014,             0.73393,             0.28742,            0.046868,            0.016771,                   0,           0.0087479,           0.0087479,           0.0087479
                  75,            0.030652,             0.01307,                   0,             0.83743,             0.71014,             0.74679,             0.31558,            0.046001,            0.016928,                   0,           0.0087151,           0.0087151,           0.0087151
                  76,            0.027459,            0.013206,                   0,             0.87734,              0.6738,             0.76713,             0.32997,             0.04435,            0.016228,                   0,            0.008682,            0.008682,            0.008682
                  77,            0.028666,            0.012742,                   0,             0.81939,             0.72464,             0.78989,             0.30829,            0.045304,            0.016362,                   0,           0.0086485,           0.0086485,           0.0086485
                  78,            0.028231,            0.012917,                   0,             0.80656,             0.69565,             0.75666,             0.30639,            0.045851,            0.016496,                   0,           0.0086146,           0.0086146,           0.0086146
                  79,            0.028107,            0.012596,                   0,             0.84293,             0.73886,             0.80091,             0.34357,            0.044717,            0.016258,                   0,           0.0085805,           0.0085805,           0.0085805
                  80,            0.027126,            0.012549,                   0,             0.75533,              0.7606,             0.77852,             0.35742,            0.043174,            0.015445,                   0,           0.0085459,           0.0085459,           0.0085459
                  81,            0.027837,            0.012718,                   0,             0.84117,             0.73188,             0.78012,             0.33559,            0.043654,            0.015743,                   0,           0.0085111,           0.0085111,           0.0085111
                  82,            0.030104,            0.012011,                   0,             0.81059,             0.77528,             0.78504,              0.3193,             0.04581,            0.015869,                   0,           0.0084759,           0.0084759,           0.0084759
                  83,            0.029343,             0.01264,                   0,             0.81199,             0.78241,             0.79562,             0.32586,            0.043797,            0.015271,                   0,           0.0084404,           0.0084404,           0.0084404
                  84,            0.028835,            0.013097,                   0,             0.78105,             0.72464,             0.74672,             0.30989,            0.046186,            0.016336,                   0,           0.0084046,           0.0084046,           0.0084046
                  85,            0.026962,             0.01255,                   0,             0.84791,             0.76812,             0.77298,             0.32309,            0.043672,            0.016669,                   0,           0.0083684,           0.0083684,           0.0083684
                  86,            0.027611,            0.012398,                   0,             0.85447,             0.72464,             0.77141,             0.35301,             0.04329,            0.017162,                   0,           0.0083319,           0.0083319,           0.0083319
                  87,            0.027352,            0.012056,                   0,             0.76976,             0.77536,             0.76583,              0.3192,            0.045556,            0.016559,                   0,           0.0082952,           0.0082952,           0.0082952
                  88,            0.027179,            0.012783,                   0,             0.84499,             0.75362,             0.78613,               0.324,            0.045402,            0.016576,                   0,           0.0082581,           0.0082581,           0.0082581
                  89,            0.026564,            0.011829,                   0,             0.79338,             0.69565,             0.74567,             0.30801,             0.04529,            0.017217,                   0,           0.0082207,           0.0082207,           0.0082207
                  90,            0.026245,            0.012043,                   0,             0.85711,             0.78261,             0.76867,             0.29711,            0.045573,            0.016804,                   0,            0.008183,            0.008183,            0.008183
                  91,            0.025597,            0.011645,                   0,             0.83463,             0.76803,             0.74382,              0.2872,            0.047136,            0.016986,                   0,            0.008145,            0.008145,            0.008145
                  92,            0.027445,            0.012667,                   0,             0.78008,              0.7968,             0.75613,             0.28388,            0.045844,            0.017065,                   0,           0.0081068,           0.0081068,           0.0081068
                  93,            0.026764,            0.012042,                   0,             0.80155,             0.73171,             0.73972,             0.28762,            0.048726,            0.017156,                   0,           0.0080682,           0.0080682,           0.0080682
                  94,            0.027335,            0.011977,                   0,             0.83759,             0.71003,               0.748,             0.30215,            0.047161,            0.017393,                   0,           0.0080294,           0.0080294,           0.0080294
                  95,            0.025457,            0.011546,                   0,             0.82924,             0.73898,             0.75256,              0.3156,            0.045713,            0.017541,                   0,           0.0079903,           0.0079903,           0.0079903
                  96,            0.025233,            0.011736,                   0,             0.78779,             0.75362,             0.74932,             0.33086,            0.045067,            0.017498,                   0,           0.0079509,           0.0079509,           0.0079509
                  97,            0.025193,            0.011867,                   0,             0.85439,             0.72464,             0.77263,             0.30118,            0.045378,            0.017829,                   0,           0.0079112,           0.0079112,           0.0079112
                  98,            0.024195,            0.011371,                   0,             0.80644,             0.72459,             0.76724,             0.31129,            0.043947,            0.017532,                   0,           0.0078713,           0.0078713,           0.0078713
                  99,            0.025744,            0.012024,                   0,             0.89087,              0.7099,              0.8181,             0.33115,            0.044682,            0.017542,                   0,           0.0078311,           0.0078311,           0.0078311
                 100,            0.024504,            0.011329,                   0,             0.84481,             0.71007,             0.75848,             0.31756,            0.044433,            0.018119,                   0,           0.0077907,           0.0077907,           0.0077907
                 101,            0.026455,            0.011082,                   0,             0.84608,             0.71739,             0.75621,             0.31897,            0.042891,            0.018323,                   0,             0.00775,             0.00775,             0.00775
